T,P,S,PT,Y,BAI,DBH,H,Hc,SMx,t60,t300,L16,L17
B102,B1,B,NB,2016,0.469919429,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2017,0.800305021,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2018,1.132933709,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1973,0.68139888,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1974,0.939549832,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1975,1.200188925,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1976,1.377676343,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1977,1.470830849,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1978,0.868587537,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1979,0.609506674,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1980,0.872860103,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1981,0.393607002,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1982,1.843561967,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1983,2.120499643,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1984,1.199142774,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1985,1.561261593,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1986,6.732643543,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1987,2.888647321,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1988,1.384311387,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1989,1.622177075,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1990,1.396563598,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1991,1.44905647,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1992,1.690352777,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1993,2.171745302,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1994,2.0897623,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1995,1.288376572,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1996,1.917125501,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1997,1.685731494,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1998,2.275804276,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,1999,2.094276769,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2000,1.02700863,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2001,0.931585894,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2002,1.179982201,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2003,1.430640454,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2004,1.237551886,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2005,1.440479922,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2006,1.295957235,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2007,1.400396341,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2008,1.455603549,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2009,0.906135852,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2010,2.071575621,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2011,1.929427978,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2012,1.631818622,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2013,1.279335068,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2014,1.54038571,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2015,1.64931101,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2016,1.500245581,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2017,1.089683403,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B103,B1,B,NB,2018,1.613644509,16.6,10.1,39.6039603960396,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1973,3.541124699,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1974,4.439425419,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1975,4.534298376,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1976,3.994230325,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1977,3.315611754,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1978,1.728268659,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1979,2.311483344,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1980,2.255082331,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1981,1.615485482,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1982,3.502850676,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
B104,B1,B,NB,1983,2.410679132,24.9,11.9,49.5798319327731,0,0,0,1137.39583333333,1432.82894736842
